url	category
http://www.acme.com/	books
http://www.acme.com/SH55126545/VD55149415	movies
http://www.acme.com/SH55126545/VD55163347	games
http://www.acme.com/SH55126545/VD55165149	electronics
http://www.acme.com/SH55126545/VD55166807	computers
http://www.acme.com/SH55126545/VD55170364	home&garden
http://www.acme.com/SH55126545/VD55173061	handbags
http://www.acme.com/SH55126545/VD55177927	clothing
http://www.acme.com/SH55126545/VD55179433	shoes
http://www.acme.com/SH55126554/VD55147564	outdoors
http://www.acme.com/SH5568487/VD55169229	automotive
http://www.acme.com/SH5580165/VD55156528	clothing
http://www.acme.com/SH5580165/VD55173281	tools
http://www.acme.com/SH5582037/VD5582082	accessories
http://www.acme.com/SH5584743/VD55162989	grocery
http://www.acme.com/SH5584743/VD55178549	clothing
http://www.acme.com/SH5585921/VD55178554	clothing
http://www.acme.com/SH5585921/VD55179070	clothing
http://www.acme.com/SH5587637/VD55129406	clothing
http://www.acme.com/SH5587637/VD55134536	shoes
http://www.acme.com/SH5587637/VD55137665	shoes
http://www.acme.com/SH5587637/VD55167939	shoes
http://www.acme.com/SH5587637/VD55178312	shoes
http://www.acme.com/SH5587637/VD55178699	shoes
http://www.acme.com/SH559026/VD5568891	handbags
http://www.acme.com/SH559026/VD5582785	handbags
http://www.acme.com/SH559040/VD55175948	handbags
http://www.acme.com/SH559044/VD5586386	handbags
http://www.acme.com/SH559056/VD55178907	handbags
http://www.acme.com/SH559056/VD55179132	handbags
http://www.acme.com/SH559056/VD55181666	handbags
